name,position,year,height,weight
Ed Peterson,C,1951,2.0574,99.77324263
Ed Peterson,C,1951,2.0574,99.77324263
Andy Phillip*,,1951,,
Jim Pollard*,,1951,,
George Ratkovicz,PF,1951,1.9812,99.77324263
Don Rehfeldt,SF,1951,2.0066,95.238095238
Jim Riffey,SF,1951,1.9304,90.702947846
Arnie Risen*,,1951,,
Tex Ritter,SG,1951,1.8796,83.900226757
Red Rocha,PF,1951,2.0574,83.900226757
Kenny Sailors,PG,1951,1.778,79.365079365
Kenny Sailors,PG,1951,1.778,79.365079365
Kenny Sailors,PG,1951,1.778,79.365079365
Pep Saul,SG,1951,1.8796,83.900226757
Alan Sawyer,SF,1951,1.9558,88.43537415
Fred Schaus,SF,1951,1.9558,92.970521542
Dolph Schayes*,,1951,,
Herb Scherer,C,1951,2.0574,96.145124717
Dick Schnittker,SF,1951,1.9558,90.702947846
Fred Scolari,PG,1951,1.778,81.632653061
George Senesky,PG,1951,1.8796,81.179138322
Paul Seymour,SG,1951,1.8542,81.632653061
Carl Shaeffer,SF,1951,1.905,83.900226757
Bill Sharman*,,1951,,
Connie Simmons,PF,1951,2.032,100.680272109
Belus Smawley,SG,1951,1.8542,88.43537415
Belus Smawley,SG,1951,1.8542,88.43537415
Belus Smawley,SG,1951,1.8542,88.43537415
Ed Stanczak,SF,1951,1.8542,83.900226757
Mike Todorovich,PF,1951,1.9558,99.77324263
Gene Vance,SG,1951,1.905,88.43537415
Ernie Vandeweghe,SF,1951,1.905,88.43537415
Brady Walker,PF,1951,1.9812,92.970521542
Brady Walker,PF,1951,1.9812,92.970521542
Brady Walker,PF,1951,1.9812,92.970521542
Paul Walther,SG,1951,1.8796,72.562358277
Bobby Wanzer*,,1951,,
Max Zaslofsky,SG,1951,1.8796,77.097505669
Paul Arizin*,,1952,,
Cliff Barker,PG,1952,1.8796,83.900226757
Don Barksdale*,,1952,,
Leo Barnhorst,SF,1952,1.9304,86.167800454
Elmer Behnke,C,1952,2.0066,95.238095238
Charlie Black,PF,1952,1.9558,90.702947846
Nelson Bobb,PG,1952,1.8288,77.097505669
Vince Boryla,SF,1952,1.9558,95.238095238
Don Boven,SF,1952,1.9304,95.238095238
Bob Brannum,PF,1952,1.9558,97.505668934
Frankie Brian,PG,1952,1.8542,81.632653061
Stan Brown,SF,1952,1.905,90.702947846
Walt Budko,PF,1952,1.9558,99.77324263
Art Burris,SF,1952,1.9558,99.77324263
Art Burris,SF,1952,1.9558,99.77324263
Art Burris,SF,1952,1.9558,99.77324263
Gerry Calabrese,PG,1952,1.8542,79.365079365
Bill Calhoun,SF,1952,1.905,81.632653061
Al Cervi*,,1952,,
Cal Christensen,PF,1952,1.9558,95.238095238
Nat Clifton*,,1952,,
Bill Closs,PF,1952,1.9558,88.43537415
Jack Coleman,PF,1952,2.0066,88.43537415
Chuck Cooper,SF,1952,1.9558,95.238095238
Bob Cousy*,,1952,,
Dillard Crocker,SF,1952,1.9304,92.970521542
Dillard Crocker,SF,1952,1.9304,92.970521542
Dillard Crocker,SF,1952,1.9304,92.970521542
Ed Dahler,SF,1952,1.9558,86.167800454
Bob Davies*,,1952,,
Nate DeLong,C,1952,1.9812,99.77324263
Dick Dickey,PG,1952,1.8542,79.365079365
Bob Donham,SG,1952,1.8796,86.167800454
Dike Eddleman,SF,1952,1.905,85.714285714
Dike Eddleman,SF,1952,1.905,85.714285714
Dike Eddleman,SF,1952,1.905,85.714285714
Jake Fendley,PG,1952,1.8288,81.632653061
Larry Foust,PF,1952,2.0574,97.505668934
Jerry Fowler,C,1952,2.032,104.308390023
Joe Fulks*,,1952,,
Bill Gabor,SG,1952,1.8034,77.097505669
Harry Gallatin*,,1952,,
Vern Gardner,PF,1952,1.9558,90.702947846
Joe Graboski,PF,1952,2.0066,88.43537415
Alex Hannum*,,1952,,
Bob Harris,PF,1952,2.0066,88.43537415
Bob Harrison,PG,1952,1.8542,86.167800454
Lew Hitch,PF,1952,2.032,90.702947846
Joe Holland,SF,1952,1.9304,83.900226757
Red Holzman*,,1952,,
Mel Hutchins,PF,1952,1.9812,90.702947846
Joe Hutton,PG,1952,1.8542,77.097505669
Arnie Johnson,PF,1952,1.9558,107.029478458
Ralph Johnson,PG,1952,1.8034,77.097505669
Neil Johnston*,,1952,,
Wah Wah,,1952,,
Noble Jorgensen,C,1952,2.0574,103.401360544
George Kaftan,SF,1952,1.905,86.167800454
Jack Kerris,PF,1952,1.9812,97.505668934
Jack Kiley,PG,1952,1.8542,77.097505669
George King,PG,1952,1.8288,79.365079365
Walt Kirk,SG,1952,1.905,78.458049887
Frank Kudelka,SG,1952,1.8796,87.528344671
Bob Lavoy,PF,1952,2.0066,83.900226757
Don Lofgran,PF,1952,1.9558,90.702947846
Ray Lumpp,PG,1952,1.8542,80.725623583
Ed Macauley*,,1952,,
John Mahnken,C,1952,2.032,99.77324263
Slater Martin*,,1952,,
John McConathy,SF,1952,1.9558,88.43537415
Alfred McGuire*,,1952,,
Dick McGuire*,,1952,,
Bones McKinney,PF,1952,1.9812,83.900226757
Joe McNamee,PF,1952,1.9812,95.238095238
Dick Mehen,PF,1952,1.9558,88.43537415
Stan Miasek,PF,1952,1.9558,95.238095238
Ed Mikan,PF,1952,2.032,104.308390023
George Mikan*,,1952,,
Vern Mikkelsen*,,1952,,
Dave Minor,SG,1952,1.8796,83.900226757
Paul Noel,SF,1952,1.9304,83.900226757
Ralph O'Brien,PG,1952,1.7526,72.562358277
Kevin O'Shea,PG,1952,1.8796,79.365079365
Kevin O'Shea,PG,1952,1.8796,79.365079365
Kevin O'Shea,PG,1952,1.8796,79.365079365
Wally Osterkorn,PF,1952,1.9558,97.505668934
Don Otten,C,1952,2.0828,108.843537415
Don Otten,C,1952,2.0828,108.843537415
Don Otten,C,1952,2.0828,108.843537415
Red Owens,SG,1952,1.905,83.900226757
Red Owens,SG,1952,1.905,83.900226757
Red Owens,SG,1952,1.905,83.900226757
Mel Payton,SF,1952,1.9304,83.900226757
Andy Phillip*,,1952,,
John Pilch,SF,1952,1.905,83.900226757
Jim Pollard*,,1952,,
Ray Ragelis,SF,1952,1.9304,92.970521542
Sam Ranzino,PG,1952,1.8542,83.900226757
George Ratkovicz,PF,1952,1.9812,99.77324263
Don Rehfeldt,SF,1952,2.0066,95.238095238
Don Rehfeldt,SF,1952,2.0066,95.238095238
Don Rehfeldt,SF,1952,2.0066,95.238095238
John Rennicke,PG,1952,1.8796,83.900226757
Arnie Risen*,,1952,,
Red Rocha,PF,1952,2.0574,83.900226757
Pep Saul,SG,1952,1.8796,83.900226757
